index,locate,rating,review,classfication,address,explain,mood,topic,reason,Cluster
10,전쟁기념관,4.6," 13,977",전쟁 박물관,서울특별시 용산구 남영동 이태원로 29,"한국의 전쟁을 다루는 박물관으로, 전시회장과 기념비, 야외 전차 전시가 마련되어 있습니다.","몽환적인, 재미있는, 화려한, 감각적인","도시락, 체험학습, 박물관, 공연, 미술관","주말나들이, 가족나들이, 힐링, 유물",2
11,광화문광장,4.3," 8,941",역사적 명소,서울특별시 종로구 세종로 세종대로 172,서울시 친환경 재개발의 일환으로 2009년에 문을 연 대형 공공 광장입니다.,"재미있는, 화려한, 웅장한, 옛모습","공연, 분수, 워터슬라이드, 야경","나들이, 한복체험, 체험관, 데이트, 휴식",7
12,창의문,4.4," 1,082",역사적 명소,서울특별시 종로구 청운동,14세기에 건립된 성벽의 웅장한 석조 문으로 18세기에 목조 정문이 재건되었습니다.,"고풍스러운, 소박한, 화려한, 옛모습","공원, 둘레길, 성곽, 성곽길, 산책","경치, 스템프투어, 산행, 등산, 휴식",4
13,서대문자연사박물관,4.3," 2,247",자연사 박물관,서울특별시 서대문구 연희동 연희로32길 51,"공룡의 뼈, 나비, 화석 전시실이 있는 현대 자연사 박물관입니다.","작은공간, 재미있는, 신비한, 웅장한","체험학습, 고래, 박물관, 자락길, 공원","주말나들이, 체험관, 재방문, 등산, 휴식",0
14,남산공원,4.6," 1,289",공원,서울특별시 중구 용산2가동 삼일대로 231,서울에서 가장 큰 공원으로 조용하고 나무가 울창한 언덕에 산책로가 있으며 전망대와 케이블카도 이용할 수 있습니다.,"깨끗한, 화려한, 평화로운","공원, 둘레길, 드라이브, 야경, 산책","나들이, 경치, 데이트, 가을여행, 힐링",6
15,국립민속박물관,4.5," 1,599",박물관,서울특별시 종로구 세종로 삼청로 37,"1946년에 설립된 국립 박물관으로 한국인의 역사, 문화, 삶을 기념합니다.","재미있는, 화려한, 웅장한, 옛모습","체험학습, 다방, 박물관, 공연, 궁궐","주말나들이, 한복체험, 가족나들이",7
16,대림미술관,4.2," 2,091",미술관,서울특별시 종로구 통의동 35-1 대림미술관,현대적으로 재개발한 공간에 자리한 현대 사진 및 디자인 미술관으로 카페가 있고 가이드 투어가 제공됩니다.,"재미있는, 화려한, 감각적인","미술관, 박물관, 카트, 공연, 플리마켓","주말나들이, 발렌타인데이, 비오는날",2
17,문화비축기지,4.2," 1,945",공원,서울특별시 마포구 성산동 증산로 87,더 이상 사용되지 않는 기름 탱크를 전시관과 공연장으로 탈바꿈한 공간이며 잘 조경된 정원이 있습니다.,"재미있는,신비로운,화려한,옛모습","공원,체험학습,공연","나들이,휴식,촬영지,데이트",7
18,인천 차이나타운,3.9," 9,340",관광 명소,인천광역시 중구 북성동,중국인 소유의 레스토랑과 기업으로 유명한 번화한 관광 및 문화 지구입니다.,"재미있는, 이국적, 화려한, 웅장한","하얀짜장, 화덕만두, 길거리음식, 공갈빵","나들이, 촬영지, 데이트, 드라이브",3
19,남대문시장,4.2," 21,854",시장,서울특별시 중구 회현동 남대문시장4길 21,"1964년에 문을 연 이 넓은 노점상 지역에서는 옷, 생활용품, 지역 생산품이 판매됩니다.","아늑한, 활기찬, 퀄리티있는, 화려한","갈치골목, 시장, 갈치조림, 수입상가","나들이, 착한가격, 데이트, 싱싱한, 등산",3
20,감천문화마을,4.3," 20,337",관광 명소,부산광역시 사하구 감천2동 감내1로 200,"다채로운 주택, 벽화, 상점, 카페 등이 있는 그림 같은 명소입니다.","재미있는, 이국적, 아기자기, 화려한","씨앗호떡, 시장, 벽화마을, 책방골목","스템프투어, 경치, 데이트, 등산",3
21,광장시장,4.1," 29,165",재래시장,서울특별시 종로구 종로4가 창경궁로 88,"다양한 전통 식료품, 의상, 기념품을 판매하는 유서 깊은 실내 시장입니다.","활기찬,인심좋은,친절한,재미있는","시장,빈대떡,누드김밥,칼국수","음식,싱싱한,나들이,데이트,착한가격",3
22,창경궁,4.6," 2,701",고궁,서울특별시 종로구 와룡동 창경궁로 185,"네 곳의 한국 전통 궁궐, 사당, 정원으로 이루어진 단지로, 가이드 투어와 자유 관람을 즐길 수 있습니다.","아담한, 고즈넉한, 화려한, 웅장한","식물원, 궁궐, 야경, 공연","주말나들이, 데이트, 가을여행, 눈오는날",2
23,여의도공원,4.4," 5,004",공원,서울특별시 영등포구 여의동 여의공원로 68,"1971년에 개장했으며 벚나무, 아름다운 연못, 산책로가 있는 공원입니다.","정적인, 쉴만한, 재미있는, 화려한","자전거대여, 스케이트, 벚꽃구경, 인라인","주말나들이, 피크닉, 비오는날, 데이트",3
24,충무아트센터,4.3," 2,435",아트 센터,서울특별시 중구 흥인동 퇴계로,서울시 중구문화재단이 운영·관리하는 복합문화예술공간입니다.,"우아한, 재미있는, 화려한, 편안한","극장, 연극, 아트홀, 뮤지컬, 공연","나들이, 신선한, 데이트, 숨겨진, 휴식",2
25,석촌호수 공원,4.5," 4,383",공원,서울특별시 송파구 잠실동 47,"넓고 아름다운 호수가 있는 유명 공원으로 이벤트 공간, 조깅 코스, 테마파크가 있습니다.","조그마한, 깨끗한, 화려한, 편안한","치킨, 도시락, 시민공원, 캠핑, 야경","주말나들이, 피크닉, 경치, 데이트, 힐링",6
26,탑골공원,3.7," 2,910",공원,서울특별시 종로구 종로2가 종로 99,국보로 보호되는 10층 석탑이 자리한 아름다운 공원으로 전통적인 양식의 팔각정이 있습니다.,"재미있는,옛모습,고즈넉한","체험학습,공원,산책,석탑","가족나들이,데이트,유물,휴식",4
27,장항스카이워크,4.2," 2,119",관광 명소,충청남도 서천군 장항읍 장항산단로34번길 74-45, 장항송림산림욕장에 세워진 전망대로 천연 해솔숲 사이로 탁 트인 장항 앞바다가 보이는 환상적인 조망을 할 수 있습니다.,"조그마한, 고즈넉한, 편안한, 웅장한","전망대, 박물관, 산림욕장, 일몰, 갈대","갯벌체험, 힐링, 경치, 드라이브, 나들이",9
28,용인자연 휴양림,4.4," 2,010",휴양림,경기도 용인시 처인구 모현면 초부로 220,수려한 자연경관에 숙박시설과 산책로 어린이놀이터 등을 갖춘 체류형 휴식처이며 산책 코스를 갖춘 등산로도 있습니다.,"아담한, 재미있는, 편안한, 쾌적한","계곡, 캠핑, 휴양림, 짚라인, 짚와이어","경치, 가족나들이, 드라이브, 등산",9
29,자만벽화마을,3.9," 1,284",관광 명소,전라북도 전주시 풍남동 한옥레일바이크,언덕 위 집과 좁은 골목길에 다양한 만화 스타일의 벽화가 그려진 마을입니다.,"재미있는, 분위기좋은, 아기자기, 화려한","막걸리, 벽화마을, 벽화거리, 야경","나들이, 경치, 한복체험, 데이트",6
30,용연구름다리,4.1," 1,677",관광 명소,제주특별자치도 제주시 용담이동,나무가 우거진 절벽의 깊은 만에 있는 상징적인 다리로 정자가 보이는 야경으로 유명합니다.,"운치있는, 이국적, 신비로운, 웅장한","야간명소, 공원, 카약, 야경, 계곡","가족여행, 경치, 데이트, 드라이브",1
31,성산일출봉,4.6," 1,019",산봉우리,서귀포시 성산읍,화산 분화로 형성된 이 독특한 분화구 형태의 봉우리는 고대의 성과 비슷하다고 합니다.,"이국적, 화려한, 신비로운, 웅장한","해변, 오름, 일몰, 유채꽃, 갈치조림","해녀체험, 가족여행, 경치, 드라이브",5
32,제주조천 스위스마을,3.5," 1,509",관광 명소,제주특별자치도 제주시 조천읍 함와로 566-27,제주도의 아름다움과 스위스의 이국적인 정취를 담은 휴양지입니다.,"동화적인,이국적,분위기있는,아기자기","숙소,사진,산책,동화","핫플레이스,데이트,사진찍기,힐링",3
33,제주불빛정원,4.0," 1,236",테마파크,제주특별자치도 제주시 애월읍 평화로,일몰부터 자정까지 밤의 정취를 만끽하는 제주시의 대표적인 야간 명소이며 화려한 불빛과 음악과 분위기 있는 포토존이 어우러져 늦은 밤까지 시간을 보내기 좋습니다.,"친절한, 화려한, 웅장한, 쾌적한","야간명소, 해변, 테마파크, 야경, led장미","프로포즈, 가을여행, 데이트, 힐링",6
34,수종사,4.5," 1,397",불교사찰,경기도 남양주시 조안면 북한강로433번길 186,경기도 남양주시에 있는 대한불교조계종 소속의 사찰입니다.,"재미있는, 호젓한, 화려한, 편안한","여유로움,사진,풍경,석탑","경치,휴식,등산,단풍구경",0
35,배곧생명공원,4.5," 2,056",공원,경기도 시흥시 배곧 2 로 25,배곧마루라는 작은 언덕과 스카이데크 갈대 산책로와 공연장 등이 있어 가족끼리 가기에 좋은 곳입니다.,"편안한, 재미있는, 호젓한, 운치있는","공연,야경,드라이브,노을,억새","나들이,산책,데이트,가족나들이",2
36,덕진공원,4.1," 3,217",공원,전라북도 전주시 덕진구 덕진동1가 권삼득로 390,호수의 연꽃과 나무다리를 건너면 만날 수 있는 화려한 탑으로 잘 알려진 고요한 정원입니다.,"재미있는, 깨끗한, 화려한, 편안한","음악분수, 오리배, 분수쇼, 공원, 연꽃","경치, 비오는날, 데이트, 가족나들이",8
37,이화동 벽화마을,4.1," 4,031",관광 명소,서울특별시 종로구 이화동 낙산4길 49,"색색의 벽화, 모자이크 타일로 된 계단, 철제 조형물이 늘어선 골목길입니다.","재미있는, 화려한, 운치있는, 옛모습","공원, 박물관, 벽화마을, 벽화거리, 성곽","나들이, 경치, 데이트, 드라마촬영지",4
38,벽골제,4.2," 1,250",관광 명소,전라북도 김제시 부량면 신용리 119-1 KR, 우리나라 최초의 저수지라는데 의미가 있을 뿐 아니라 당시에 이미 이러한 저수지 축조가 가능할 정도의 고도로 발달된 토목기술을 보유하고 있었음을 입증해 준다는 점에서 우리나라 과학기술사에서도 획기적인 사실을 제공해 주는 유적입니다.,"편안한, 재미있는, 화려한, 분위기있는","체험,전통,축제,야경,저수지","나들이,사진찍기,데이트,축제",9
39,도라전망대,4.4," 2,867",관측소,경기도 파주시 장단면 제3땅굴로 310,비무장 지대와 북한이 내려다 보이며 망원경이 비치된 언덕 위의 관측소입니다.,"재미있는,편안한,웅장한","공원, 전망대, 박물관, 모노레일, 박람회","데이트, 유물, 촬영지",9
40,영종대교기념관,4.0," 1,947",관광 명소,인천광역시 서구 경서동 산257-4,인천국제공항고속도로에 관련된 정보들을 한눈에 볼 수 있는 곳입니다.,"아담한, 재미있는, 쉬기좋은, 편안한","캠핑, 전망대, 드라이브, 과학관","나들이, 경치, 데이트, 휴식, 가족여행",9
41,양화한강공원,4.4," 1,851",공원,서울특별시 영등포구 당산2동 노들로 221,한강 전망이 아름답고 자전거 도로를 따라 장미가 피어 있는 좁은 잔디 공원입니다.,"활기찬, 깨끗한, 편안한, 포근한","치킨, 시민공원, 캠핑, 산책, 야경","나들이, 데이트, 드라이브, 휴식, 피크닉",6
42,파리공원,4.2," 1,637",공원,서울특별시 양천구 목5동 906,서울 광장은 삼태극무늬로 꾸미고 파리 광장에는 프랑스식 화단을 조성하는 등 양국의 전통 양식을 조화롭게 반영했으며 야외 무대 광장에서는 인근 주민들읠 위한 공연히 펼쳐지며 야외 결혼식도 열립니다.,"아담한, 이국적","공원, 장미정원, 둘레길, 산책, 분수","나들이, 데이트, 힐링, 휴식, 사진찍기",3
43,낙성대공원,4.4," 2,222",공원,서울특별시 관악구 봉천동 낙성대로 77,"강감찬 장군의 탄생지로 경치 좋은 공원으로 조성되어 있으며, 강감찬 장군을 기리는 사당과 동상이 있습니다.","분위기있는, 아담한, 깨끗한, 소박한","전통혼례, 둘레길, 도서관, 산책, 공원","주말나들이, 경치, 데이트, 힐링, 등산",3
44,제주동문시장,4.0," 25,508",재래시장,제주특별자치도 제주시 이도일동 관덕로14길 20,"싱싱한 농수산물, 의류, 잡화 등을 판매하는 역사가 오래된 실내 시장입니다.","활기찬, 재미있는, 친절한, 포근한","오메기떡, 갈치, 귤하르방, 초콜릿","가족여행, 싱싱한, 드라이브, 등산",8
45,통인시장,3.8," 6,088",재래시장,서울특별시 종로구 통인동 자하문로15길 18,"한국 전통 음식을 맛볼 수 있는 간이식당과 가판대, 식품 매장이 있는 재래시장입니다.","빈티지한, 아담한, 재미있는, 작은규모","도시락카페, 떡갈비, 수수부꾸미","숨은, 신선한, 데이트, 핫플레이스",3
46,국립고궁박물관,4.5," 4,731",국립박물관,서울특별시 종로구 청운동 효자로 12,조선 왕조와 왕실을 다룬 전시와 다양한 유물을 볼 수 있으며 오디오 투어를 제공합니다.,"재미있는, 화려한, 옛모습, 웅장한","궁궐, 박물관, 체험학습, 시장, 미술관","나들이, 경치, 데이트, 유물, 휴식",4
47,헤이리 예술마을,3.9," 6,962",문화센터,경기도 파주시 탄현면 헤이리마을길 82-105,"화가, 조각가, 영화 제작자, 도예가 등 380여 명의 예술가가 모인 예술 공동체입니다.","분위기있는, 재미있는, 분위기좋은","아울렛, 못난이빵, 박물관, 마늘빵","나들이, 경치, 도자기체험, 드라이브",3
48,대전스카이로드,4.1," 2,253",관광 명소,대전광역시 중구 은행선화동 중앙로164번길,국내 최초로 설계된 도심속 대형 LED 영상스크린을 통하여 다양한 예술작품과 첨단기술의 향연을 즐길 수 있습니다.,"편안한, 재미있는, 화려한","led쇼,문화,행사,길거리음식","나들이,사진찍기,데이트,핫플레이스",3
49,새연교,4.3," 1,929",다리,제주특별자치도 서귀포시 서귀동 남성중로 40,돛 모양의 타워를 통과하며 야간에 조명이 켜지는 보행자 전용 사장교입니다.,"이국적, 낭만적인, 분위기있는, 화려한","야간명소, 밤바다, 산책, 야경, 폭포","가족여행, 경치, 데이트, 드라이브",1
50,진도타워,4.3," 2,638",관광 명소,전라남도 진도군 군내면 만금길 112-41,416년 전 이순신 장군을 도와 명량대첩을 승리로 이끈 우리 조상과 진도군민들의 훌륭한 호국정신을 계승시키고자 만든 상징물입니다.,"조그마한, 화려한, 옛모습, 웅장한","공원, 레스토랑, 전망대, 일몰, 야경","힐링, 경치, 드라이브, 체험관, 촬영지",4
51,백제문화단지,4.3," 2,742",관광 명소,충청남도 부여군 규암면 백제문로 455,"백제 시대 생활을 보여주는 역사 공원으로 성, 탑, 절이 재건되어 있습니다.","재미있는, 화려한, 옛모습, 웅장한","아울렛, 궁궐, 유적지, 박물관, 야경","가족여행, 유적, 주말여행, 드라이브",4
52,정선아리랑시장,4.0," 4,070",재래시장,강원도 정선군 정선읍 봉양리 349-20,정선아리랑열차를 통해 널리 알려지면서 많은 관광객들이 찾고 있으며 농산물과 다양한 음식물을 판매하고 있습니다.,"활기찬, 재미있는, 인심좋은, 소박한","메밀전병, 곤드레밥, 수수부꾸미","향토음식, 가족여행, 경치, 신선한",8
53,화담숲,4.5," 11,385",수목원,경기도 광주시 도척면 도척윗로 278,고즈넉한 오솔길을 따라 걸으며 숲에 둘러싸인 정원에서 봄꽃과 가을 단풍을 느낄 수 있는 수목원입니다.,"깨끗한, 화려한, 편안한, 운치있는","수목원, 계곡, 휴양림, 모노레일, 산책","주말나들이, 경치, 가을여행, 등산",0
54,송월동 동화마을,3.9," 7,326",관광 명소,인천광역시 중구 송월동3가 자유공원서로45번길,이 마을의 집 대다수는 동화 속 이야기를 밝은 색상으로 그린 그림으로 꾸며져 있습니다.,"화사한, 화려한, 재미있는, 이국적","하얀짜장, 화덕만두, 벽화마을, 동화마을","나들이, 촬영지, 데이트, 드라이브",3
55,프로방스 마을,3.9," 6,790",관광 명소,경기도 파주시 탄현면 새오리로 69,"남프랑스 테마의 마을로 유럽 스타일의 상점, 제과점, 레스토랑, 벽화가 있습니다.","동화적인, 화려한, 분위기있는, 아기자기","아울렛, 공원, 바람개비, 마늘빵","나들이, 데이트, 드라이브, 힐링, 촬영지",3
56,남산골 한옥마을,4.3," 7,928",관광 명소,서울특별시 중구 필동 퇴계로34길 28,1392~1910년에 지은 한옥 5채를 복원하여 재탄생한 한옥 마을로 투어 및 문화 프로그램이 진행됩니다.,"재미있는, 고즈넉한, 화려한, 운치있는","전통혼례, 둘레길, 공연, 산책, 공원","전통체험, 나들이, 경치, 한복체험",9
57,섭지코지,4.4," 12,459",관광 명소,제주특별자치도 서귀포시 성산읍 섭지코지로,"등대, 레스토랑, 상점, 경치 좋은 전망, 산책로를 갖추고 있는 조용한 해변 지역입니다.","신비로운, 이국적, 재미있는, 편안한","산책, 해변, 야경, 유채꽃, 승마","가족여행, 경치, 커플여행, 등산, 촬영지",1
58,서울로7017,4.1," 6,212",시티 공원,서울특별시 중구 봉래동2가 122-14,1970년대부터 사용되던 고가도로를 보수하여 2017년 공원으로 개장한 곳으로 길이는 약 1km입니다.,"분위기좋은, 화려한, 재미있는, 낭만적인","야경,광장,공원,걷기","나들이,경치,데이트,핫플레이스",6
59,만장굴,4.2," 9,536",동굴,제주특별자치도 제주시 구좌읍 만장굴길 182,종유석과 석순이 있고 박쥐와 곤충이 서식하는 독특한 구조물의 긴 용암 동굴입니다.,"재미있는, 화려한, 신비로운, 웅장한","횟집, 해변, 미로공원, 동굴, 오름","가족여행, 커플여행, 드라이브, 비올때",8
60,청계 광장,4.4," 7,665",대광장,서울특별시 종로구 서린동 148,청계천 초입에 자리한 넓은 광장으로 붉은색과 푸른색의 띠가 회오리치는 고깔 모양 조각 작품과 폭포가 있습니다.,"재미있는, 화려한, 편안한, 옛모습","시장, 박람회, 공연, 야경, 플리마켓","주말나들이, 축제행사, 가족나들이",7
61,경암동철길마을 시작점,3.8," 6,160",관광 명소,전라북도 군산시 경촌안3길 49 KR,폐철로 옆에 조성된 고풍스러운 지역으로 사탕과 기념품을 판매하는 복고풍 상점과 거리 벽화가 있습니다.,"재미있는, 고즈넉한, 소박한, 옛모습","치즈호떡, 철길, 벽화마을, 박물관","주말여행, 가을여행, 촬영지, 추억여행",4
62,시흥갯골생태공원,4.4," 5,594",생태 공원,경기도 시흥시 연성동 동서로 287,"강변과 꽃밭, 오래된 염전, 나선형 전망대가 있는 습지 보호구역입니다.","평화로운, 재미있는, 편안한, 옛모습","저수지, 전망대, 생태공원, 수영장, 캠핑","갯벌체험, 주말나들이, 가족나들이",9
63,광명동굴,4.3," 10,452",관광 명소,경기도 광명시 학온동 가학로85번길 142,"엔터테인먼트 명소로 탈바꿈한 옛 광산 동굴로 조명 쇼, 수족관, 와이너리가 있습니다.","재미있는, 깨끗한, 화려한, 웅장한","귀신의집, 와인동굴, 테마파크, 공연","공포체험, 주말나들이, 가족나들이, 등산",2
64,송도구름산책로,4.4," 5,283",관광 명소,부산광역시 서구 암남동 129-4,"송도해수욕장에 있는 구불구불한 산책로로, 등대가 보이고 머리 위로 케이블카가 지나다닙니다.","재미있는, 분위기좋은, 편안한, 이국적","케이블카,드라이브,밤바다,야경","나들이,산책,데이트,휴식",6
65,서귀포매일올레시장,4.0," 21,686",시장,제주특별자치도 서귀포시 서귀동 중앙로62번길 18,"1960년대에 설립된 실내 시장으로 농수산물, 가정용품 등을 판매하는 가판대가 많이 있습니다.","활기찬, 조그마한, 재미있는, 화려한","천혜향주스, 오메기떡, 귤하르방","태교여행, 가족여행, 비오는날, 싱싱한",8
66,여의도한강공원,4.5," 12,825",공원,서울특별시 영등포구 여의도동 여의동로 330,"강가에 위치한 대형 공원으로 아름다운 경치와 조깅 코스, 수영장 등이 있어 많은 사람들의 사랑을 받고 있습니다.","깨끗한, 재미있는, 화려한, 편안한","자전거대여, 오리배, 시민공원, 치맥","피크닉, 경치, 데이트, 드라이브, 나들이",6
67,답다니탑망대,4.1," 1,010",관광 명소,제주특별자치도 제주시 우도면 연평리,4.3 사건 당시에 제주도 본섬과 바다의 상황들을 알아보고자 쌓아 올린 초소의 역할을 한 돌탑입니다.,"고즈넉한, 편안한, 웅장한","땅콩아이스크림, 해변, 돌탑, 일몰","가족여행, 경치, 드라이브, 사진찍기",8
68,사라봉공원,4.5," 1,043",관광 명소,제주특별자치도 제주시 건입동 사라봉동길 74,제주시 동문로터리에서 동쪽으로 2km 거리에 있는 143m 높이의 낮은 동산입니다.,"편안한, 웅장한","공원, 오름, 일몰, 야경, 산책로","나들이, 경치, 숨겨진, 휴식, 등산",0
69,도두 무지개 해안도로,4.4," 1,856",관광 명소,제주특별자치도 제주시 도두일동 2287,파란 제주 하늘과 그 아래로 끝없이 펼쳐진 수평선을 마주할 수 있는 용담이호해안도로이며 제주공항과 가까운 곳에 있어 여행 전후로 가볍게 드라이브를 즐길 수 있는 곳입니다.,"재미있는, 분위기좋은, 편안한","공항,드라이브,해안도로","나들이,핫플레이스,데이트,사진찍기",3
70,청풍호관광모노레일,4.1," 1,718",관광 명소,"114, 도곡리 청풍면 제천시 충청북도","왕복 50분이 소요되고 가파른 구간도 일부 있는 현대적인 모노레일 코스로 호수, 산, 숲의 풍경을 볼 수 있습니다.","조그마한, 재미있는, 아담한, 깨끗한","전망대, 빨간오뎅, 패러글라이딩","가족여행, 경치, 가을여행, 등산",9
71,168계단,4.2," 1,768",관광 명소,부산광역시 동구 영초길 191,"168개 계단으로 이루어진 가파르고 좁은 오르막길로, 모노레일이 운행됩니다.","빈티지한, 재미있는, 소박한, 옛모습","도시락, 전망대, 모노레일, 야경","경치, 데이트, 추억여행, 기차여행",9
72,목포 갓바위,4.2," 1,540",관광 명소,전라남도 목포시 용해동 산86-24,다리에서 보면 삿갓을 쓴 두 남자의 모습을 닮은 사암 바위입니다.,"재미있는, 낭만적인, 깨끗한, 화려한","음악분수, 공원, 유람선, 야경, 밤바다","나들이, 경치, 데이트, 드라이브, 유물",6
73,용머리해안,4.4," 4,215",관광 명소,제주특별자치도 서귀포시 안덕면 사계리,바위가 많은 이 해안은 산책하기 좋고 독특한 절벽과 아름다운 바다 경관을 자랑합니다.,"이국적, 아기자기, 신비로운, 웅장한","토끼아이스크림, 둘레길, 암벽, 해변","가족여행, 경치, 커플여행, 드라이브",5
74,낙산공원,4.5," 4,729",공원,서울특별시 종로구 이화동 낙산길 41,"산책로가 있는 언덕 위의 녹지 공간으로, 밤낮의 서울 전경을 감상할 수 있는 전망대가 몇 개 있습니다.","분위기좋은, 분위기있는, 화려한, 쾌적한","공원, 벽화마을, 성곽길, 산책, 야경","나들이, 경치, 데이트, 드라이브, 등산",6
75,만천하스카이워크,4.3," 1,882",전망대,충청북도 단양군 적성면 애곡리 5,"유리 바닥으로 된 언덕 위 스카이워크로, 하곡 방향을 향해 있으며 탁 트인 산의 풍경과 집라인을 즐길 수 있습니다.","재미있는, 분위기좋은, 편안한","모노레일,짚라인,알파인코스터","가족나들이,경치,데이트,나들이",9
76,청풍문화재단지,4.2," 1,513",관광 명소,충청북도 제천시 청풍면 청풍호로 2048,1985년 댐 건설로 수몰된 수 세기 역사 마을의 유물을 이전하여 복원해 놓은 단지입니다.,"화사한, 재미있는, 작은규모, 옛모습","유람선, 드라이브, 호수, 벚꽃길","경치, 촬영지, 유물, 등산, 기차여행",4
77,춘향테마파크,3.7," 1,062",관광 명소,전라북도 남원시 노암동 양림길 14-9,춘향전을 주제로 조성한 관광지로 광한루원 건너편에 위치한 남원관광지에 자리하고 있으며 임권택 감독의 '춘향뎐'과 2005년의 KBS드라마 '쾌걸춘향'의 촬영지이기도 합니다.,"재미있는, 화려한, 옛모습, 운치있는","천문대, 전통혼례, 한정식, 테마파크","전통체험, 가족여행, 경치, 촬영지",9
78,진주성,4.5," 3,185",관광 명소,경상남도 진주시 성지동 남강로 626,"중세 시대 요새로 1,760m 길이의 바위벽으로 둘러싸여 있으며 정교한 정자와 역사박물관이 있습니다.","이국적, 화려한, 옛모습, 웅장한","음악분수, 성곽, 박물관, 육회비빔밥","가족여행, 경치, 데이트, 가을축제, 유물",5
79,반포한강공원,4.4," 6,042",공원,서울특별시 서초구 반포2동 신반포로11길 40,강을 따라 걷고 뛰며 자전거를 탈 수 있는 편안한 분위기의 공원으로 시장과 피크닉 공간도 있습니다.,"분위기좋은, 시끌벅적한, 화려한, 편안한","치킨, 분수쇼, 무지개분수, 시민공원","나들이, 경치, 데이트, 드라이브, 피크닉",6
80,물의정원,4.3," 3,532",생태 공원,경기도 남양주시 조안면 북한강로 398, 국토교통부가 2012년 한강 살리기 사업으로 조성한 484188㎡의 광대한 면적의 수변생태공원으로 조성되었습니다.,"깨끗한, 화려한, 편안한, 운치있는","공원, 라이딩, 자전거코스, 산책, 연꽃","주말나들이, 슬로시티, 경치, 드라이브",0
